reward
-198
-146
-156
-205
-107
-225
-180
-135
-130
-120
-178
-157
-81
-106
-152
-75
-141
-162
-164
-185
-106
-79
-71
-110
-120
-129
-60
-124
-163
-126
-69
-133
-208
-83
-182
-151
-153
-67
-96
-78
-74
-123
-185
-165
-41
-189
-105
-136
-176
-81
-57
-56
-134
-145
-59
-180
-67
-83
-167
-105
-38
-92
-120
-135
-71
-59
-46
-133
-69
-38
-100
-38
-76
-68
-124
-64
-72
-54
-149
-111
-149
-106
-116
-205
-70
-78
-76
-29
-70
-128
-74
-51
-95
-78
-110
-127
-155
-79
-135
-56
